Name,District,Party,Hometown,SwearIn,Ref
Madeleine Dean,Pennsylvania (PA) - 4th,Democrat,Bala Cynwyd,"Jan. 07, 2023",/members/D000631
James Comer,Kentucky (KY) - 1st,Republican,Tompkinsville,"Jan. 07, 2023",/members/C001108
"Eric A. ""Rick"" Crawford",Arkansas (AR) - 1st,Republican,Jonesboro,"Jan. 07, 2023",/members/C001087
C. Scott Franklin,Florida (FL) - 18th,Republican,Lakeland,"Jan. 07, 2023",/members/F000472
Brett Guthrie,Kentucky (KY) - 2nd,Republican,Bowling Green,"Jan. 07, 2023",/members/G000558
Daniel T. Kildee,Michigan (MI) - 8th,Democrat,Flint Township,"Jan. 07, 2023",/members/K000380
Joe Courtney,Connecticut (CT) - 2nd,Democrat,Vernon,"Jan. 07, 2023",/members/C001069
"Earl L. ""Buddy"" Carter",Georgia (GA) - 1st,Republican,Pooler,"Jan. 07, 2023",/members/C001103
Stephen F. Lynch,Massachusetts (MA) - 8th,Democrat,Flint Township,"Jan. 07, 2023",/members/L000562
Richard McCormick,Georgia (GA) - 6th,Republican,Suwanee,"Jan. 07, 2023",/members/M001218
Harold Rogers,Kentucky (KY) - 5th,Republican,Somerset,"Jan. 07, 2023",/members/R000395
Ayanna Pressley,Massachusetts (MA) - 7th,Democrat,Boston,"Jan. 07, 2023",/members/P000617
Warren Davidson,Ohio (OH) - 8th,Republican,Troy,"Jan. 07, 2023",/members/D000626
Jason Crow,Colorado (CO) - 6th,Democrat,Aurora,"Jan. 07, 2023",/members/C001121
Andrew R. Garbarino,New York (NY) - 2nd,Republican,Bayport,"Jan. 07, 2023",/members/G000597
Raul Ruiz,California (CA) - 25th,Democrat,Indio,"Jan. 07, 2023",/members/R000599
Virginia Foxx,North Carolina (NC) - 5th,Republican,Banner Elk,"Jan. 07, 2023",/members/F000450
"Henry C. ""Hank"" Johnson, Jr.",Georgia (GA) - 4th,Democrat,Lithonia,"Jan. 07, 2023",/members/J000288
Ed Case,Hawaii (HI) - 1st,Democrat,Kaneohe,"Jan. 07, 2023",/members/C001055
