Member,Vote,Party,State,Profile
Kinzinger,Not Voting,Republican,IL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000378
Kirkpatrick,Yea,Democratic,AZ,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000368
Krishnamoorthi,Yea,Democratic,IL,/members/K000391
Kuster,Yea,Democratic,NH,/members/K000382
Kustoff,Nay,Republican,TN,/members/K000392
LaHood,Not Voting,Republican,IL,/members/L000585
LaMalfa,Not Voting,Republican,CA,/members/L000578
Lamb,Yea,Democratic,PA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000588
Lamborn,Not Voting,Republican,CO,/members/L000564
Langevin,Yea,Democratic,RI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000559
Larsen (WA),Yea,Democratic,WA,/members/L000560
Larson (CT),Yea,Democratic,CT,/members/L000557
Latta,Nay,Republican,OH,/members/L000566
LaTurner,Nay,Republican,KS,/members/L000266
Lawrence,Yea,Democratic,MI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000581
Lawson (FL),Yea,Democratic,FL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000586
Lee (CA),Yea,Democratic,CA,/members/L000551
Lee (NV),Yea,Democratic,NV,/members/L000590
Leger Fernandez,Yea,Democratic,NM,/members/L000273
Lesko,Not Voting,Republican,AZ,/members/L000589
Letlow,Nay,Republican,LA,/members/L000595
Levin (CA),Yea,Democratic,CA,/members/L000593
Levin (MI),Yea,Democratic,MI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000592
Lieu,Yea,Democratic,CA,/members/L000582
Lofgren,Yea,Democratic,CA,/members/L000397
Long,Nay,Republican,MO,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000576
Loudermilk,Nay,Republican,GA,/members/L000583
Lowenthal,Yea,Democratic,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000579
Lucas,Not Voting,Republican,OK,/members/L000491
Luetkemeyer,Not Voting,Republican,MO,/members/L000569
Luria,Yea,Democratic,VA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000591
Lynch,Yea,Democratic,MA,/members/L000562
Mace,Nay,Republican,SC,/members/M000194
Malinowski,Yea,Democratic,NJ,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001203
Malliotakis,Nay,Republican,NY,/members/M000317
"Maloney, Carolyn B.",Yea,Democratic,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000087
"Maloney, Sean",Yea,Democratic,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001185
Mann,Nay,Republican,KS,/members/M000871
Manning,Yea,Democratic,NC,/members/M001135
Massie,Not Voting,Republican,KY,/members/M001184
Mast,Nay,Republican,FL,/members/M001199
Matsui,Yea,Democratic,CA,/members/M001163
McBath,Yea,Democratic,GA,/members/M001208
McCarthy,Not Voting,Republican,CA,/members/M001165
McCaul,Not Voting,Republican,TX,/members/M001157
McClain,Not Voting,Republican,MI,/members/M001136
McClintock,Nay,Republican,CA,/members/M001177
McCollum,Yea,Democratic,MN,/members/M001143
McEachin,Yea,Democratic,VA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001200
McGovern,Yea,Democratic,MA,/members/M000312
McHenry,Not Voting,Republican,NC,/members/M001156
McKinley,Nay,Republican,WV,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001180
McNerney,Yea,Democratic,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001166
Meeks,Yea,Democratic,NY,/members/M001137
Meijer,Nay,Republican,MI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001186
Meng,Yea,Democratic,NY,/members/M001188
Meuser,Not Voting,Republican,PA,/members/M001204
Mfume,Yea,Democratic,MD,/members/M000687
Miller (IL),Not Voting,Republican,IL,/members/M001211
Miller (WV),Not Voting,Republican,WV,/members/M001205
Miller-Meeks,Not Voting,Republican,IA,/members/M001215
Moolenaar,Nay,Republican,MI,/members/M001194
Mooney,Not Voting,Republican,WV,/members/M001195
Moore (AL),Not Voting,Republican,AL,/members/M001212
Moore (UT),Not Voting,Republican,UT,/members/M001213
Moore (WI),Yea,Democratic,WI,/members/M001160
Morelle,Yea,Democratic,NY,/members/M001206
Moulton,Yea,Democratic,MA,/members/M001196
Mrvan,Yea,Democratic,IN,/members/M001214
Mullin,Not Voting,Republican,OK,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001190
Murphy (FL),Yea,Democratic,FL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001202
Murphy (NC),Nay,Republican,NC,/members/M001210
Nadler,Yea,Democratic,NY,/members/N000002
Napolitano,Yea,Democratic,CA,/members/N000179
Neal,Yea,Democratic,MA,/members/N000015
Neguse,Yea,Democratic,CO,/members/N000191
Nehls,Not Voting,Republican,TX,/members/N000026
Newhouse,Nay,Republican,WA,/members/N000189
Newman,Yea,Democratic,IL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000192
Norcross,Yea,Democratic,NJ,/members/N000188
Norman,Not Voting,Republican,SC,/members/N000190
Nunes,Not Voting,Republican,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000181
O'Halleran,Yea,Democratic,AZ,http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000171
Obernolte,Nay,Republican,CA,/members/O000019
Ocasio-Cortez,Yea,Democratic,NY,/members/O000172
Omar,Yea,Democratic,MN,/members/O000173
Owens,Not Voting,Republican,UT,/members/O000086
Palazzo,Nay,Republican,MS,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000601
Pallone,Yea,Democratic,NJ,/members/P000034
Palmer,Nay,Republican,AL,/members/P000609
Panetta,Yea,Democratic,CA,/members/P000613
Pappas,Yea,Democratic,NH,/members/P000614
Pascrell,Yea,Democratic,NJ,/members/P000096
Payne,Yea,Democratic,NJ,/members/P000604
Pelosi,Yea,Democratic,CA,/members/P000197
Pence,Not Voting,Republican,IN,/members/P000615
Perlmutter,Yea,Democratic,CO,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000593
Perry,Not Voting,Republican,PA,/members/P000605
Peters,Yea,Democratic,CA,/members/P000608
Pfluger,Not Voting,Republican,TX,/members/P000048
Phillips,Yea,Democratic,MN,/members/P000616
Pingree,Yea,Democratic,ME,/members/P000597
Pocan,Yea,Democratic,WI,/members/P000607
Porter,Yea,Democratic,CA,/members/P000618
Posey,Not Voting,Republican,FL,/members/P000599
Pressley,Yea,Democratic,MA,/members/P000617
Price (NC),Yea,Democratic,NC,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000523
Quigley,Yea,Democratic,IL,/members/Q000023
Raskin,Yea,Democratic,MD,/members/R000606
Reed,Nay,Republican,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000585
Reschenthaler,Nay,Republican,PA,/members/R000610
Rice (NY),Yea,Democratic,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000602
Rice (SC),Nay,Republican,SC,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000597
Rodgers (WA),Not Voting,Republican,WA,/members/M001159
Rogers (AL),Nay,Republican,AL,/members/R000575
Rogers (KY),Nay,Republican,KY,/members/R000395
Rose,Not Voting,Republican,TN,/members/R000612
Rosendale,Not Voting,Republican,MT,/members/R000103
Ross,Yea,Democratic,NC,/members/R000305
Rouzer,Nay,Republican,NC,/members/R000603
Roy,Not Voting,Republican,TX,/members/R000614
Roybal-Allard,Yea,Democratic,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000486
Ruiz,Yea,Democratic,CA,/members/R000599
Ruppersberger,Yea,Democratic,MD,/members/R000576
Rush,Yea,Democratic,IL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000515
Rutherford,Nay,Republican,FL,/members/R000609
Ryan,Yea,Democratic,OH,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000577
Salazar,Nay,Republican,FL,/members/S000168
Sanchez,Yea,Democratic,CA,/members/S001156
Sarbanes,Yea,Democratic,MD,/members/S001168
Scalise,Not Voting,Republican,LA,/members/S001176
Scanlon,Yea,Democratic,PA,/members/S001205
Schakowsky,Yea,Democratic,IL,/members/S001145
Schiff,Yea,Democratic,CA,/members/S001150
Schneider,Yea,Democratic,IL,/members/S001190
Schrader,Yea,Democratic,OR,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001180
Schrier,Yea,Democratic,WA,/members/S001216
Schweikert,Not Voting,Republican,AZ,/members/S001183
Scott (VA),Yea,Democratic,VA,/members/S000185
"Scott, Austin",Nay,Republican,GA,/members/S001189
"Scott, David",Yea,Democratic,GA,/members/S001157
Sessions,Not Voting,Republican,TX,/members/S000250
Sewell,Yea,Democratic,AL,/members/S001185
Sherman,Yea,Democratic,CA,/members/S000344
Sherrill,Yea,Democratic,NJ,/members/S001207
Simpson,Not Voting,Republican,ID,/members/S001148
Sires,Yea,Democratic,NJ,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001165
Slotkin,Yea,Democratic,MI,/members/S001208
Smith (MO),Not Voting,Republican,MO,/members/S001195
Smith (NE),Not Voting,Republican,NE,/members/S001172
Smith (NJ),Not Voting,Republican,NJ,/members/S000522
Smith (WA),Yea,Democratic,WA,/members/S000510
Smucker,Not Voting,Republican,PA,/members/S001199
Soto,Yea,Democratic,FL,/members/S001200
Spanberger,Yea,Democratic,VA,/members/S001209
Spartz,Not Voting,Republican,IN,/members/S000929
Speier,Yea,Democratic,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001175
Stansbury,Yea,Democratic,NM,/members/S001218
Stanton,Yea,Democratic,AZ,/members/S001211
Stauber,Not Voting,Republican,MN,/members/S001212
Steel,Nay,Republican,CA,/members/S001135
Stefanik,Not Voting,Republican,NY,/members/S001196
Steil,Nay,Republican,WI,/members/S001213
Steube,Nay,Republican,FL,/members/S001214
Stevens,Yea,Democratic,MI,/members/S001215
Stewart,Not Voting,Republican,UT,/members/S001192
Strickland,Yea,Democratic,WA,/members/S001159
Suozzi,Yea,Democratic,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001201
Swalwell,Yea,Democratic,CA,/members/S001193
Takano,Yea,Democratic,CA,/members/T000472
Taylor,Nay,Republican,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000479
Tenney,Nay,Republican,NY,/members/T000478
Thompson (CA),Yea,Democratic,CA,/members/T000460
Thompson (MS),Yea,Democratic,MS,/members/T000193
Thompson (PA),Nay,Republican,PA,/members/T000467
Tiffany,Nay,Republican,WI,/members/T000165
Timmons,Nay,Republican,SC,/members/T000480
